,N_Correct_Des,N_Correct_UTS,Sample_total_swc_g,TDR_total_swc_g,bd,lw,soc_water,Elev,Canopy,landCoverClass,OldName,NewName,CalDate,SampDate,airRH,airT,WeightedTDR,ppt,Bare,BWE_mm,BWE_uncer,N0_port_to_stat,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_Des,N_ratio_UTS,QA1,QA2,Des_resid_singleN0,Des_pred_singleN0,Des_obs_singleN0,Rhov_cal_g_cm3,UTS_Resid_singleN0,UTS_pred_singleN0,UTS_obs_singleN0,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,2819.166327665351,2676.9406825708165,0.1985284639004499,0.10819221384922371,1.361518108344007,0.0315,0.0185,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31,2023-07-31,62.075,18.575,0.079229752920345,2.4081,857.3175758182958,82.9021925479212,4.942364161724904,1.3323168947662272,0.0098144323519677,101.9006663021043,4296.054224325598,6350.422601577462,1.3039753908765113,1.3026287237447025,TRUE,TRUE,0.014118943829590141,0.18440952007085976,0.1985284639004499,2.65763586028831e-05,0.016081919094699554,0.18244654480575034,0.1985284639004499,C2,4296.054224325598,6350.422601577462,0.09033625005122618,0.5449707902010243
1,2801.073442311828,2659.156668655323,0.11323494465114294,0.08934934682429548,0.9801954581421034,0.028499999999999998,0.013000000000000001,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31,2023-07-31,44.333333333333336,24.5,0.0469017124322407,2.4081,1120.4881542036155,40.76532908884749,1.9795670778219752,1.2987329424781986,0.0097956320358738,102.10144580890652,3907.8171591601176,5670.147843787238,1.3557582457140882,1.351954615898512,TRUE,TRUE,-0.08059992847245788,0.19383487312360081,0.11323494465114294,1.5538992824762943e-05,-0.0899448324654633,0.20317977711660623,0.11323494465114294,C1,3907.8171591601176,5670.147843787238,0.02388559782684746,0.7890616019601121
2,2778.4624146287197,2644.722722895045,0.21036596327943877,0.12126839009810354,0.8743120546698385,0.040499999999999994,0.03,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31,2023-07-31,36.5,27.0,0.0443874154589528,8.7726,1060.4214827715225,96.31413316937264,2.6026584708246707,1.294736719253763,0.0101801483632205,98.24776557694918,4547.606532372419,6804.33001993258,1.3372667307869175,1.3453527327736476,TRUE,TRUE,0.015420692892860105,0.19494527038657866,0.21036596327943877,1.1557099946230672e-05,0.015360987521119002,0.19500497575831977,0.21036596327943877,C3,4547.606532372419,6804.33001993258,0.08909757318133522,0.5764639307976699
3,3109.4247665832927,2943.102415520885,0.09224209225412074,0.08854145198348047,1.204974427969537,0.0295,0.013000000000000001,1976.0184,forest,Oak forest,Crys 6,C4,2023-07-31,2023-07-31,39.625,27.700000000000003,0.0554787722666813,7.066,1033.650554095717,11.682695480554193,0.7597026405441388,1.2317716421797265,0.0099777470335742,100.23898897270844,4087.2380305072734,5805.314179365809,1.3347888752043728,1.2975885505451663,TRUE,TRUE,-0.034603956803197874,0.1268460490573186,0.09224209225412074,1.3907986002381716e-05,-0.052550948316522114,0.14479304057064285,0.09224209225412074,C4,4087.2380305072734,5805.314179365809,0.0037006402706402652,0.9598812192979616
4,3016.412616365551,2872.0374950201876,0.2873169379785822,0.14282237577205742,1.1516752129295567,0.032,0.0235,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02,2023-08-02,86.875,12.375,0.100567015710799,7.8251,1202.4139361348332,53.50223186752186,5.288655420376647,1.3186251459108989,0.0075602725132663,132.28776796407806,5270.965675613889,7932.494223865719,1.3220134200579585,1.313870766179984,TRUE,TRUE,0.1496290216362346,0.13768791634234762,0.2873169379785822,4.744072871845877e-05,0.13666109732441847,0.15065584065416374,0.2873169379785822,F2,5270.965675613889,7932.494223865719,0.1444945622065248,0.49708999677110577
5,2576.3932925310523,2459.7886209910116,0.2982351658941924,0.22661161751538603,0.9545266895174276,0.062,0.033,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02,2023-08-02,43.25,22.875,0.1256268015689953,10.0126,844.1724440816413,25.454255108805302,0.6936765907763532,1.2778288788363272,0.0097013576667338,103.09610712169746,4631.689050043522,6997.485039991221,1.3171379690678198,1.3200959161086383,TRUE,TRUE,0.039743847724915515,0.2584913181692769,0.2982351658941924,1.3758647280441398e-05,0.053449041435055855,0.24478612445913656,0.2982351658941924,F3,4631.689050043522,6997.485039991221,0.07162354837880638,0.7598420422217516
6,3499.541304435091,3362.7623136824695,0.08379577888625532,0.07475485954432216,1.3463751240571322,0.036500000000000005,0.0175,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,2023-08-02,2023-08-02,29.0,27.166666666666668,0.0279438265937751,8.9871,855.7963093698423,0.9630534494449516,0.2650248896623229,1.342654723082949,0.0091838386755669,108.90079457756184,4494.619280217012,6422.194951690752,1.3117679735233274,1.3250245697806273,TRUE,TRUE,0.008333939356847925,0.0754618395294074,0.08379577888625532,7.807144079632614e-06,-0.010165216584492806,0.09396099547074813,0.08379577888625532,F4,4494.619280217012,6422.194951690752,0.009040919341933157,0.8921076996705845
7,2637.7640694360816,2518.0397753668985,0.215395476594858,0.10017784831944443,1.0346831511562131,0.05450000000000001,0.0225,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01,2023-08-01,53.166666666666664,19.333333333333332,0.0239817291361835,6.0832,847.1916129500962,67.19156181177802,1.5557946110662408,1.3162385057198762,0.0073385248285258,136.28260912485092,4233.316520386062,6338.42320550836,1.3658169705385717,1.4334131458882136,TRUE,TRUE,-0.026171747407925355,0.24156722400278335,0.215395476594858,1.8618574253172683e-05,-0.030343198871179256,0.24573867546603725,0.215395476594858,F1,4233.316520386062,6338.42320550836,0.11521762827541357,0.4650879856120243
8,2324.2618468729393,2190.881395804107,0.30916304412151296,,0.8756881922107961,0.0615,0.0375,2992.5264,half-forest,Alpine meadow,RF 2,R1,2024-07-10,2024-07-10,39.81880652625,28.4198164975,,0.0,684.1643327874651,52.24927262210054,1.6618195117633592,,0.0082505846461468,121.2101220585708,4028.54735199058,5998.90782554967,1.2974214857443889,1.2583958156846793,TRUE,TRUE,-0.1307978786183971,0.43996092273991005,0.30916304412151296,1.4409585344904038e-05,-0.12582409527376187,0.43498713939527484,0.30916304412151296,R1,4028.54735199058,5998.90782554967,,
9,2730.0395533783667,2582.658599421216,0.1925953109653372,0.1056308882412807,0.8915580294162293,0.035,0.035500000000000004,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01,2023-08-01,65.66666666666667,18.833333333333332,0.031321225492038,6.4535,1077.37897977862,28.638776668551863,0.2952573089577675,1.2904802134552151,0.009156444481303,109.22792445613815,4322.756415370937,6402.070530671309,1.285705772226647,1.281008618840114,TRUE,TRUE,-0.01805696819824179,0.21065227916357898,0.1925953109653372,3.1398281202256494e-05,-0.03204008994272792,0.2246354009080651,0.1925953109653372,R2,4322.756415370937,6402.070530671309,0.0869644227240565,0.5484603322470912
