,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
0,2023-07-01,2023-07-01,5912.565217391304,0.0091968031579793,108.74007864421232,2648.2932209470755,0.0493814375288594,2549.836598620285,0.0585406759510869,7.147854490151672e-06,796.1217391304348,0.0393695652173913,0.0393695652173913,0.0,0.0,18.68478260869565,,796.1217391304348,69.16956521739131,13.343478260869563,2023-07-01,0.0585406759510869,952.9293602007804,3520.7132613109893,3389.8223413977266,4611.0964700216755,0.038849105269214736,0.09084910526921473,R4,6641.340564509513
1,2023-07-02,2023-07-02,6051.0625,0.009091196917764,110.0052707626108,2682.5672029018383,0.043855241259804,2587.318024016228,0.0534578959147135,6.820093322218658e-06,795.1750000000001,0.0403125,0.0403125,0.0013335111579985,0.0009429347826086,20.50208333333333,0.0,795.1750000000001,55.56458333333333,16.310416666666665,2023-07-02,0.0534578959147135,942.5832374021204,3566.2780280187008,3439.6511709248225,4681.6922698870285,0.039779574590612966,0.09177957459061296,R4,6762.573230948039
2,2023-07-03,2023-07-03,6143.354166666667,0.0090223533400166,110.84222535062167,2710.8225645706043,0.0394586941186922,2623.7647263575827,0.0487340291341145,6.147857476562307e-06,794.3458333333333,0.0394791666666666,0.0394791666666666,0.0001549998560209,0.0001096014492753,21.570833333333336,0.0,794.3458333333333,47.93541666666667,17.575,2023-07-03,0.0487340291341145,944.1247911270028,3603.841476712191,3488.1044113927996,4721.255025674424,0.03895725780321005,0.09095725780321005,R4,6836.41520300929
3,2023-07-04,2023-07-04,6183.916666666667,0.0089929332790915,111.206647835133,2698.97910160564,0.0413392098877109,2606.9603498935166,0.050909678141276,6.53830537093703e-06,792.6958333333333,0.0381666666666666,0.0381666666666666,0.0017011554445937,0.0012028985507246,21.360416666666666,0.0,792.6958333333333,43.833333333333336,18.416666666666668,2023-07-04,0.050909678141276,941.5281885238944,3588.0964539213674,3465.764214847667,4685.262338371034,0.037662108863050554,0.08966210886305055,R4,6762.558308113183
4,2023-07-05,2023-07-05,6223.3125,0.0089645019605854,111.5599790008648,2725.6914442708003,0.0373156435704663,2625.5008475015125,0.0485394795735677,7.064919101925945e-06,792.7687500000001,0.0370208333333333,0.0370208333333333,0.0033216084848129,0.0023487318840579,20.697916666666668,0.1545,792.7687500000001,49.77708333333334,17.929166666666667,2023-07-05,0.0485394795735677,944.690449951784,3623.608571053276,3490.412458208133,4718.00696789861,0.03653142328037167,0.08853142328037167,R4,6783.650768492254
5,2023-07-06,2023-07-06,6288.0,0.0089195011622433,112.13305960086927,2732.3115094666096,0.0363768867719305,2635.5931628993344,0.0474014282226562,6.809595815773e-06,792.5083333333333,0.0367916666666666,0.0367916666666666,0.0036456990928567,0.0025778985507246,21.085416666666667,0.0,792.5083333333333,53.42291666666667,17.10625,2023-07-06,0.0474014282226562,946.063876655086,3632.4094663398237,3503.8294576466387,4726.725086511886,0.03630528616383585,0.08830528616383584,R4,6805.079205208562
6,2023-07-07,2023-07-07,6437.375,0.0088144851537575,113.46114993295905,2735.4074295878577,0.0358590271853737,2659.0772457847875,0.0445175170898437,5.325219802171235e-06,790.7770833333334,0.0362083333333333,0.0362083333333333,0.004470657004241,0.0031612318840579,21.93125,0.0,790.7770833333334,42.79791666666667,17.416666666666668,2023-07-07,0.0445175170898437,946.497325799784,3636.5252670149994,3535.049838150793,4725.0828112080935,0.03572966441265389,0.08772966441265388,R4,6852.784110637449
7,2023-07-08,2023-07-08,6468.5,0.0087930914846541,113.73583012380412,2749.1039800814056,0.0338779087786476,2663.655608485967,0.0439478556315104,5.945158604446809e-06,790.1020833333333,0.0353958333333333,0.0353958333333333,0.0056197055236691,0.0039737318840579,22.75,0.0,790.1020833333333,44.84791666666666,17.849999999999998,2023-07-08,0.0439478556315104,949.6581325683692,3654.733834924109,3541.136438437211,4738.913296747858,0.034927905544936105,0.08692790554493611,R4,6842.127305459035
8,2023-07-09,2023-07-09,6465.854166666667,0.0087947499674742,113.71317366759916,2777.1076224026115,0.029986187801486,2708.510455346564,0.0389137268066406,4.692760227347172e-06,792.2583333333333,0.0347291666666666,0.0347291666666666,0.0065625145652512,0.0046403985507246,22.37291666666667,0.0,792.2583333333333,38.110416666666666,16.916666666666668,2023-07-09,0.0389137268066406,948.3982807133184,3691.962641049294,3600.7676956284754,4779.010620885664,0.03427005211501379,0.08627005211501379,R4,6941.809968126227
9,2023-07-10,2023-07-10,6441.270833333333,0.0088113598655484,113.49747372666002,2787.968117184399,0.0285358340519241,2708.8367877438955,0.0389175415039062,5.415031422270251e-06,793.3354166666667,0.0338125,0.0338125,0.0078588769974265,0.0055570652173913,22.65833333333333,0.0,793.3354166666667,40.40833333333333,17.872916666666665,2023-07-10,0.0389175415039062,953.1152279169288,3706.4008791190813,3601.2015308208147,4786.372072031759,0.033365503648870726,0.08536550364887073,R4,6919.777502519663
