,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
47,2023-08-19,2023-08-19,10396.041666666666,0.0069355010261023,144.1916306179534,2759.1456752342488,0.090107881045549,2667.24711471791,0.0965906778971354,6.383636863555175e-06,725.4833333333332,0.0068958333333333,0.0270416666666666,0.0550208333333333,0.0217379254218274,0.0685749781618363,0.0351067329435757,13.83125,13.483333333333334,13.247916666666669,1.1108,725.4833333333332,57.04375,14.922916666666666,2023-08-19,0.0965906778971354,1232.0168027436912,3623.692642469758,3502.998711523779,4573.564994279305,0.0188750484307136,0.0743750484307136,F2,6447.533424704155
48,2023-08-20,2023-08-20,10396.770833333334,0.0069353018391491,144.1963742042816,2778.725129371202,0.0857001564713288,2711.498848507664,0.0881627400716145,4.603612672515591e-06,726.0979166666666,0.0064583333333333,0.0264375,0.0550208333333333,0.021528897884568,0.0688183115104098,0.0352313066454364,15.834042553191493,14.995833333333332,13.997916666666669,0.0,726.0979166666666,34.16458333333333,18.05625,2023-08-20,0.0881627400716145,1232.910390387144,3649.407096235824,3561.116223618116,4603.361732864344,0.018693549745233597,0.0741935497452336,F2,6544.645372434075
49,2023-08-22,2023-08-22,10207.104166666666,0.0070001596072619,142.8702614411781,2778.8790039256005,0.0858838536916875,2694.2216349150885,0.0918210347493489,5.854360523191775e-06,728.3354166666667,0.0044583333333333,0.0239583333333333,0.054875,0.0206383451937191,0.0698550226116678,0.0357620474600468,16.037499999999998,15.93125,15.366666666666667,0.0,728.3354166666667,48.69166666666666,14.825,2023-08-22,0.0918210347493489,1262.968232138393,3649.609185634598,3538.425391329067,4592.2603743499285,0.01792028252475648,0.07342028252475649,F2,6484.095510689948
50,2023-08-23,2023-08-23,9588.541666666666,0.0072220076942921,138.4760937123114,2627.05764959759,0.122929342678755,2514.012911745193,0.1312052408854166,8.328388239955247e-06,727.475,0.0531666666666666,0.0256458333333333,0.05425,0.0438889002637199,0.042788562873611,0.0219054630436507,13.95625,13.902083333333332,13.783333333333331,6.8356,727.475,78.41458333333334,13.072916666666666,2023-08-23,0.1312052408854166,1278.2445634355756,3450.2163338593837,3301.7503110239363,4607.136594803125,0.03810874782083193,0.09360874782083192,F2,6531.002948622139
52,2023-08-25,2023-08-25,9307.354166666666,0.0073343302337544,136.40601286630735,2524.928879347052,0.1565673430844364,2394.5381975839814,0.1689173380533854,1.0095526805767407e-05,725.9354166666667,0.0876041666666666,0.0459583333333333,0.0555208333333333,0.0659755015236512,0.0170770862248763,0.0087425577320095,14.01875,14.075,13.8125,5.9075,725.9354166666667,97.50833333333333,11.564583333333331,2023-08-25,0.1689173380533854,1260.1507520004616,3316.0866731230253,3144.8395518156885,4646.432616075179,0.0572865516066735,0.1127865516066735,F2,6590.00954108872
53,2023-08-26,2023-08-26,8261.208333333334,0.0077802429314304,128.53660023257115,2261.5322482148345,0.271103787412311,2154.244235363856,0.2716789245605469,9.220899654230751e-06,726.9458333333333,0.1491041666666666,0.1183125,0.0820833333333333,0.1233682938015814,0.0497350693029531,0.0254617040027104,13.45,13.389583333333334,13.20625,21.977499,726.9458333333333,89.77708333333334,11.808333333333332,2023-08-26,0.2716789245605469,1214.2032733040503,2970.1576984942744,2829.252205071828,4590.993803210404,0.10712073370079676,0.16262073370079674,F2,6631.271146137653
54,2023-08-27,2023-08-27,8408.645833333334,0.0077121949264614,129.6759041178387,2291.480681030352,0.2543075633650216,2188.333447938879,0.2530504862467448,8.734196264954028e-06,727.0166666666668,0.1355625,0.121875,0.1072708333333333,0.1244600584301463,0.0510060154491212,0.0261123606727554,14.391489361702128,14.51875,14.133333333333333,1.9755,727.0166666666668,81.11874999999999,12.852083333333333,2023-08-27,0.2530504862467448,1207.6773231832904,3009.4901326680797,2874.0228853242256,4659.119406963444,0.10806871331887065,0.16356871331887066,F2,6748.075342890425
55,2023-08-28,2023-08-28,8616.854166666666,0.0076180749987995,131.2737309007992,2326.171125140824,0.2358113824620419,2235.989273603077,0.2292531331380208,7.489669887711537e-06,726.6625,0.1187708333333333,0.1128541666666666,0.1175416666666666,0.1164471877224163,0.0416780642778884,0.0213369469656398,13.795833333333334,13.916666666666666,13.804166666666667,0.46069998,726.6625,72.08333333333333,12.858333333333334,2023-08-28,0.2292531331380208,1209.494534947841,3055.0504335305754,2936.6111228283994,4674.297638592606,0.10111113481298507,0.15661113481298508,F2,6804.859272721221
56,2023-08-29,2023-08-29,8670.916666666666,0.0075943344158108,131.68462651771347,2347.2926778698275,0.2250709888434322,2278.8368856302395,0.2092781066894531,5.566684851751061e-06,727.5500000000001,0.099625,0.1013749999999999,0.1205833333333333,0.104947018715603,0.0282904758755203,0.0144832154239211,12.126086956521736,12.583333333333334,12.808333333333332,0.0,727.5500000000001,59.30416666666667,12.114583333333334,2023-08-29,0.2092781066894531,1206.658579954627,3082.7901849719806,2992.8845475496387,4633.396361753056,0.09112553394478846,0.14662553394478847,F2,6798.47720657961
57,2023-08-30,2023-08-30,8977.625,0.0074634483302394,133.99356348270126,2389.689674182223,0.2055582325625672,2321.956336291263,0.1918512980143229,5.405568190007976e-06,725.7166666666667,0.0797083333333333,0.0884375,0.1195,0.0916833203738387,0.0128499259159928,0.0065784770126044,12.26875,12.527083333333332,12.70625,0.0,725.7166666666667,51.725,13.310416666666669,2023-08-30,0.1918512980143229,1197.1088679194222,3138.471798660972,3049.514988453932,4614.1693946308305,0.07960865992332396,0.13510865992332396,F2,6755.548491716807
58,2023-08-31,2023-08-31,9274.375,0.0073429877342191,136.1906478070733,2425.4846422833675,0.1904855288154075,2361.604461778523,0.1772193908691406,5.00942027344454e-06,723.2291666666666,0.068,0.0796666666666666,0.1155833333333333,0.0827447658136933,0.0024443667200852,0.0012513854463894,12.908510638297871,12.802083333333334,12.622916666666669,0.0,723.2291666666666,44.84375,14.483333333333334,2023-08-31,0.1772193908691406,1205.3033628010178,3185.4827135647474,3101.5864038581594,4609.567503208018,0.07184730979678842,0.12734730979678843,F2,6747.821213892601
59,2023-09-01,2023-09-01,9390.020833333334,0.0072974146908501,137.03847271552078,2450.5620606382186,0.180352577486226,2388.3223454473887,0.1678975423177083,4.826124096834124e-06,723.7312499999999,0.057375,0.0722708333333333,0.1101458333333333,0.0744044007989852,0.0072648274557803,0.0037192043542374,13.922916666666666,13.654166666666669,13.20625,0.0,723.7312499999999,42.22291666666667,14.33125,2023-09-01,0.1678975423177083,1201.2493441467464,3218.4178562070056,3136.6760329930953,4585.132937257188,0.06460536786683904,0.12010536786683904,F2,6701.995896977631
60,2023-09-02,2023-09-02,9273.270833333334,0.0073437314636509,136.18064371381598,2469.2086796570843,0.1734420455736274,2386.2248420535266,0.1688079833984375,6.445262664714184e-06,726.0854166666667,0.0491041666666666,0.0661458333333333,0.1050625,0.0675933052625949,0.0151937668962683,0.0077783986394484,13.79375,13.9125,13.716666666666669,0.0,726.0854166666667,59.07083333333333,12.802083333333334,2023-09-02,0.1688079833984375,1191.9135733621358,3242.907181563074,3133.9213007279177,4558.725009386508,0.05869129117272657,0.11419129117272656,F2,6592.5985150554
61,2023-09-03,2023-09-03,9224.9375,0.0073629129870389,135.82548167802398,2471.802904811339,0.1724258416722967,2375.744307777731,0.1722017923990885,7.487718164620787e-06,725.1374999999999,0.0448125,0.0618958333333333,0.1001875,0.0631847782742558,0.0203258258030242,0.0104057391989303,13.341666666666669,13.277083333333332,12.995833333333332,0.0,725.1374999999999,73.80416666666666,11.847916666666668,2023-09-03,0.1722017923990885,1205.6518846427518,3246.314277711988,3120.1568100432683,4522.809852393104,0.054863365609533,0.110363365609533,F2,6494.995501693666
62,2023-09-04,2023-09-04,9846.208333333334,0.0071277468431576,140.31872541049526,2503.399573522144,0.1610478862534647,2424.5957702587284,0.1564992268880208,6.032324622053898e-06,718.9041666666667,0.041,0.058375,0.0957708333333333,0.0593372236768644,0.0248048449613512,0.0126987582221293,13.712765957446807,13.675,13.2625,0.0004,718.9041666666667,63.16041666666666,11.585416666666667,2023-09-04,0.1564992268880208,1210.3799907926907,3287.81140378315,3184.3153235843297,4543.980498470591,0.05152253257435036,0.10702253257435035,F2,6565.729825164324
63,2023-09-05,2023-09-05,9887.1875,0.0071116922286823,140.61876074472858,2528.6725391831587,0.1526729568717003,2461.5492561920923,0.1455764770507812,5.055150019313486e-06,721.1958333333333,0.0348125,0.054,0.0896041666666666,0.0537814947177103,0.0312723857893343,0.0160097943279496,13.180434782608694,13.5,13.28125,0.0,721.1958333333333,60.52916666666667,10.047916666666667,2023-09-05,0.1455764770507812,1211.098197810354,3321.003366259519,3232.84776472808,4535.269323491864,0.04669849112894843,0.10219849112894844,F2,6570.9197136380335
