date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-29,2023-06-29,,0.0100194522041205,99.81290695337609,2038.2999529286528,0.1503299740124125,1980.5470494861372,0.1270751953125,,,,,,,,,,,,2023-06-29,0.1270751953125,1002.7567035945027
2023-06-30,2023-06-30,,0.0100713601646921,99.29747620384175,2042.3280302433664,0.1481989457431249,1970.2883530587949,0.1301261706229968,,,,,,,,,,,,2023-06-30,0.1301261706229968,1006.4688037276749
2023-07-01,2023-07-01,4792.520833333333,0.0102050838693944,98.0051582635482,2032.456464538013,0.1530168605748637,1963.545168947108,0.1329757690429687,0.0668958333333333,0.0472291666666666,0.0577342719366198,0.0,0.0,12.535416666666668,12.166666666666666,0.0,793.75,73.09375,12.125,2023-07-01,0.1329757690429687,1002.4202481571858
2023-07-02,2023-07-02,4870.354166666667,0.010118640138072,98.83467477209872,2051.388890532668,0.1447907854742781,1975.6974615904903,0.1284271240234375,0.0660833333333333,0.0472916666666666,0.0573293837784227,0.0004962716192326,0.0002869688126043,13.2875,12.714583333333332,0.0063,793.1020833333333,68.33749999999999,13.660416666666668,2023-07-02,0.1284271240234375,1013.2606856475203
2023-07-03,2023-07-03,4915.979166666667,0.0101046336323875,98.96993363932836,2055.938255085551,0.1429907205554435,1985.3925365154369,0.1252370981069711,0.0654583333333333,0.0472291666666666,0.0569664199624389,0.0009411565511191,0.0005442232992631,13.620833333333332,12.891666666666666,1.37,792.2833333333333,64.72916666666667,14.5,2023-07-03,0.1252370981069711,1015.6575297363152
2023-07-04,2023-07-04,4926.458333333333,0.010052997163221,99.47824443032518,2061.7774454327373,0.140893860797745,1970.0690705155864,0.1302842360276442,0.0648333333333333,0.0469166666666666,0.0564869956202257,0.0015287872086052,0.0008840204294909,14.189583333333331,13.464583333333332,0.0,790.6708333333332,64.825,15.710416666666667,2023-07-04,0.1302842360276442,1022.9129446826544
2023-07-05,2023-07-05,4942.395833333333,0.0100463392962114,99.5504539217784,2066.326975923316,0.1394667959981098,1988.57936089984,0.1244931104706554,0.0639375,0.046875,0.0559890690848428,0.0021390960135692,0.0012369311870178,13.958333333333334,13.341666666666669,0.8857,790.7916666666666,66.66875,15.116666666666667,2023-07-05,0.1244931104706554,1018.9505867748244
2023-07-06,2023-07-06,5065.375,0.0098949735353149,101.0856717533501,2086.175929241856,0.1319600431611442,2022.818211995056,0.1140181378620426,0.0632708333333333,0.0464166666666666,0.0554194528567006,0.002837274911021,0.0016406527810452,14.289583333333333,13.51875,0.0,790.5333333333333,61.10625,15.472916666666668,2023-07-06,0.1140181378620426,1021.5302421612715
2023-07-07,2023-07-07,5166.854166666667,0.0098369663341994,101.67488754264976,2087.948620213765,0.1314799916880693,2022.5324553822572,0.1141023181733631,0.0620833333333333,0.0458333333333333,0.0545133991284217,0.003947825421678,0.0022828280516625,14.30625,13.658333333333331,0.0,788.8458333333333,55.14791666666667,15.295833333333334,2023-07-07,0.1141023181733631,1017.5899819994796
2023-07-08,2023-07-08,5196.083333333333,0.0098039565551938,102.01619489429204,2097.1943822229377,0.1283238964788713,2037.5450655887785,0.1098789122046493,0.0608125,0.0453333333333333,0.0536016524176291,0.0050653538238667,0.0029290382845258,14.45625,13.76875,0.0,788.2041666666668,54.06458333333333,15.533333333333331,2023-07-08,0.1098789122046493,1024.7083996763756
2023-07-09,2023-07-09,5220.4375,0.0098110548538335,101.93010422832884,2132.0543502264286,0.1160129100835975,2073.578983048892,0.0994129669971955,0.0592708333333333,0.044625,0.0524481875050604,0.0064791563475992,0.0037465688781953,14.060416666666669,13.602083333333333,0.0,790.3791666666666,52.45625,14.229166666666666,2023-07-09,0.0994129669971955,1025.1112223548573
2023-07-10,2023-07-10,5163.708333333333,0.0098642106751089,101.38154198833868,2122.982084806424,0.1188810787366516,2052.903683098519,0.1049346923828125,0.058125,0.0442708333333333,0.0516711458381202,0.0074315767097575,0.00429730547049,14.760416666666666,13.975,0.0,791.4250000000001,52.18541666666667,16.193749999999998,2023-07-10,0.1049346923828125,1026.9845275561026
2023-07-11,2023-07-11,5124.5,0.0098802860669005,101.2193780559767,2140.2753413369087,0.1134793409230078,2064.268017283017,0.1020060694494912,0.0569583333333333,0.0436041666666666,0.0507374002239124,0.0085760691789315,0.0049591076614381,15.204166666666666,14.310416666666669,0.0,792.4729166666666,55.80416666666667,16.852083333333333,2023-07-11,0.1020060694494912,1030.5503847750988
2023-07-12,2023-07-12,5117.145833333333,0.0098570600378503,101.45884916492324,2159.5633329835027,0.1074139862359894,2066.779777556681,0.10120849609375,0.0562083333333333,0.0431041666666666,0.0501038607501418,0.0093525988307147,0.0054081355394958,15.733333333333334,14.722916666666668,0.0,792.2624999999999,59.13958333333333,17.83125,2023-07-12,0.10120849609375,1031.1377133764115
2023-07-13,2023-07-13,5232.958333333333,0.0097580225949236,102.48788489271269,2160.459873081423,0.1073582429637178,2075.94126094742,0.0989090768914473,0.0551666666666666,0.0423749999999999,0.0492077697412619,0.0104509380311914,0.0060432496261828,15.633333333333333,14.797916666666666,0.0,791.6062499999999,60.49166666666667,17.077083333333334,2023-07-13,0.0989090768914473,1027.7512473828067
2023-07-14,2023-07-14,5287.4375,0.0097275452919455,102.80845331808196,2147.586248717407,0.1111725473086339,2078.2873522328355,0.0983003315172697,0.0539166666666666,0.041875,0.0483071513199501,0.0115548264833638,0.0066815725648539,15.439583333333331,14.658333333333331,0.0,792.0124999999999,59.92083333333333,16.160416666666666,2023-07-14,0.0983003315172697,1024.1753366940936
2023-07-15,2023-07-15,5166.541666666667,0.0098663371314079,101.36250571070455,2168.505605008132,0.1054581281461735,2099.2044044837576,0.0932803270293445,0.0526875,0.0412708333333333,0.047369135968857,0.0127045523711866,0.0073464009774864,14.995833333333332,14.445833333333333,0.0,794.0729166666666,55.06875,14.741666666666667,2023-07-15,0.0932803270293445,1036.9216469102735
2023-07-16,2023-07-16,5138.1875,0.0099019121947294,100.99841624595622,2178.191328726249,0.1020851354200818,2112.1131206329237,0.0899672735305059,0.0517291666666666,0.040625,0.0465563782933104,0.0137007498630651,0.0079224516728815,15.054166666666667,14.308333333333332,0.0,795.5479166666668,56.75,15.322916666666666,2023-07-16,0.0899672735305059,1033.5588211063337
2023-07-17,2023-07-17,5083.75,0.0098855684730011,101.1701877117992,2202.1577867010374,0.09546571050988,2126.1436450341157,0.0867724296374198,0.0507499999999999,0.0403125,0.0458877730299221,0.014520259670827,0.008396332804377,15.745833333333332,14.65,0.0,794.9208333333332,54.33958333333334,17.322916666666668,2023-07-17,0.0867724296374198,1046.3641074669508
2023-07-18,2023-07-18,5204.395833333333,0.0098150813930259,101.8914745801894,2221.5632793273794,0.0899894721928817,2138.137016145958,0.0837562962582236,0.0499583333333333,0.0399583333333333,0.0452999122841569,0.0152408008827095,0.008812985395404,16.631249999999998,15.341666666666669,0.0,793.4104166666666,51.60208333333333,18.41875,2023-07-18,0.0837562962582236,1046.2155475479758
2023-07-19,2023-07-19,5083.541666666667,0.0099388211666264,100.62190588004948,2184.809236386355,0.1001504184542672,2085.353893476809,0.0965301513671875,0.0491875,0.0395625,0.0447037697401677,0.0159714930988424,0.0092355077995002,17.337500000000002,15.822916666666666,0.0063,795.4499999999999,56.57708333333333,19.34375,2023-07-19,0.0965301513671875,1033.6500184755407
2023-07-20,2023-07-20,5030.645833333333,0.0099465225813716,100.5474429899327,2173.130732210543,0.1036234402128192,2063.7133423026357,0.1022284092047275,0.0484375,0.039125,0.0440993453979545,0.0167123363192257,0.0096639000166657,16.98125,15.935416666666669,2.9585,795.6833333333334,70.82083333333334,17.595833333333335,2023-07-20,0.1022284092047275,1030.6431903102862
2023-07-21,2023-07-21,5093.458333333333,0.0098651137267129,101.3922993289224,2203.584895668548,0.0956013888311324,2115.372029400768,0.0897594633556547,0.0476875,0.0383541666666666,0.043339640354102,0.0176435071737419,0.0102023490919231,16.316666666666666,15.477083333333333,1.1761,796.1374999999999,67.27499999999999,16.83125,2023-07-21,0.0897594633556547,1046.9514336001437
