date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-26,2023-06-26,,0.0087439831711364,114.39423029761294,2511.473306808682,0.0822239900288331,2479.496155425433,0.0831349690755208,,,,,,,,,,,,,,2023-06-26,0.0831349690755208,789.3396609117839
2023-06-27,2023-06-27,,0.0087592197192018,114.20167907985132,2496.6096468691912,0.086247195510254,2459.718983447845,0.0875185702709441,,,,,,,,,,,,,,2023-06-27,0.0875185702709441,795.9304288830291
2023-06-28,2023-06-28,,0.0087692748332103,114.05418245824002,2515.5277721412417,0.0808742791637414,2477.653966780144,0.0831858317057291,,,,,,,,,,,,,,2023-06-28,0.0831858317057291,785.2166677158218
2023-06-29,2023-06-29,,0.0087569477371352,114.20221988782062,2518.7441987624784,0.0795501204338682,2473.8859609837023,0.083404541015625,,,,,,,,,,,,,,2023-06-29,0.083404541015625,776.3636860341494
2023-06-30,2023-06-30,,0.0088960796073646,112.41475454482244,2511.4537109029784,0.0812911782730893,2441.45939934985,0.0899119275681516,,,,,,,,,,,,,,2023-06-30,0.0899119275681516,789.7797061302292
2023-07-01,2023-07-01,6143.6875,0.0090235216576623,110.82694356213152,2504.3766139877225,0.0828454846473136,2427.1975789501,0.092864990234375,0.04575,0.10375,0.1873958333333333,0.0962840567621928,0.0,0.0,19.953488372093023,19.779166666666665,18.475,0.3436,789.2979166666668,55.28125,14.883333333333333,2023-07-01,0.092864990234375,780.4258849081148
2023-07-02,2023-07-02,6217.666666666667,0.008947021867845,111.77760893822352,2514.2929232254883,0.080564891738627,2443.6270418570502,0.0895029703776041,0.0466666666666666,0.103,0.1876041666666666,0.0964716699691041,0.0002187773346439,0.000112538023558,20.41081081081081,21.429166666666664,18.85833333333333,0.0,788.5354166666666,40.24375,18.497916666666665,2023-07-02,0.0895029703776041,783.0868365231696
2023-07-03,2023-07-03,6261.270833333333,0.0089479555251924,111.76292670824571,2514.6758524593747,0.0804677466855331,2447.4066822622963,0.0886777242024739,0.0448125,0.1016666666666666,0.1884583333333333,0.0953802220507596,0.0010539692401265,0.0005421567794848,20.482857142857146,22.447916666666668,19.602083333333333,0.0,787.7854166666666,34.800000000000004,19.429166666666667,2023-07-03,0.0886777242024739,779.4249783089713
2023-07-04,2023-07-04,6314.416666666667,0.0088956132912627,112.42174447015556,2509.4699358058847,0.081732243689499,2436.3508711075574,0.091033935546875,0.0426458333333333,0.0985416666666666,0.188,0.0932493698165048,0.0035387739082258,0.0018203285184852,22.80697674418605,21.822916666666668,19.647916666666667,0.0,786.0708333333333,34.80416666666667,19.735416666666666,2023-07-04,0.091033935546875,779.4701177562247
2023-07-05,2023-07-05,6290.666666666667,0.0089159254360848,112.1689249205318,2515.672001332611,0.0803348313713033,2440.506929168536,0.0902175903320312,0.0421874999999999,0.0965416666666666,0.187875,0.0923292736247298,0.0046117057970118,0.0023722395945247,22.4875,22.29375,19.8625,0.44489998,786.2937499999999,39.85625,19.383333333333333,2023-07-05,0.0902175903320312,780.9953049894762
