date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-06-27,2023-06-27,,0.0090567553668373,110.4340560588897,2007.6923972225031,0.1586062843160876,1968.735926592832,0.1299872147409539,,,,,,,,,,,,,,,,2023-06-27,0.1299872147409539,1001.8912992308958
2023-06-28,2023-06-28,,0.0090757307224072,110.21013702586092,2018.6437416200845,0.1543425192879133,1976.3291128189103,0.1278639051649305,,,,,,,,,,,,,,,,2023-06-28,0.1278639051649305,1022.792904270992
2023-06-29,2023-06-29,,0.0090228288413266,110.83362959069292,2030.669964059636,0.1477492255329942,1985.433347137648,0.1234662960737179,,,,,,,,,,,,,,,,2023-06-29,0.1234662960737179,1002.2707057333898
2023-06-30,2023-06-30,,0.0090960375517867,109.94606303195778,2046.8251958528872,0.1417152202877502,1987.3945319357356,0.1231399536132812,,,,,,,,,,,,,,,,2023-06-30,0.1231399536132812,1009.6734440270999
2023-07-01,2023-07-01,5883.673913043478,0.0092046345697214,108.6449022657318,2047.744389848598,0.1409184415200832,1984.5078275892508,0.1237843831380208,0.053127659574468,0.0512340425531914,0.056127659574468,0.056,0.0535518349969204,0.0,0.0,11.434042553191489,10.580851063829789,9.763829787234044,8.91063829787234,0.6522,764.2760869565217,68.25217391304348,11.26304347826087,2023-07-01,0.1237843831380208,1008.5435132365437
2023-07-02,2023-07-02,5932.729166666667,0.0091596133210807,109.18290724856064,2054.47775363178,0.1383236102829058,1989.824716357602,0.1221462151943109,0.0519166666666666,0.0503125,0.0546666666666666,0.0557916666666666,0.0524763521514732,0.001220499815391,0.0005770237850543,12.897916666666667,11.735416666666666,10.297916666666667,8.94375,0.0,763.9520833333332,58.08125,14.004166666666668,2023-07-02,0.1221462151943109,1016.2838171559749
2023-07-03,2023-07-03,6007.541666666667,0.0091259447320479,109.58321499441548,2070.3045104046228,0.1325632949185532,2010.2621897327176,0.1157583841463414,0.050531914893617,0.0487872340425531,0.0532127659574468,0.0546170212765957,0.0510541385755491,0.0028344831664135,0.0013400773885678,14.046808510638298,12.53404255319149,10.76808510638298,9.12127659574468,0.0,763.2770833333334,46.18958333333333,16.045833333333334,2023-07-03,0.1157583841463414,1020.4404119278291
2023-07-04,2023-07-04,6042.270833333333,0.0090652155973427,110.32047755313324,2071.69029556779,0.1321670281392827,2003.5928989585077,0.1179107666015625,0.0492127659574468,0.0473404255319148,0.0515744680851063,0.0539148936170212,0.0496853890514074,0.0043877934294302,0.0020744461742301,14.408510638297871,13.06808510638298,11.22340425531915,9.336170212765955,0.0,761.8270833333332,49.177083333333336,15.739583333333334,2023-07-04,0.1179107666015625,1018.5196727698898
2023-07-05,2023-07-05,6084.416666666667,0.0090705690254071,110.25634224017551,2081.9817123664075,0.128630658548462,2013.226741800988,0.1150459289550781,0.048,0.0458723404255319,0.0502978723404255,0.0529787234042553,0.0484080550388698,0.0058373618098972,0.00275976822266,13.970212765957449,12.651063829787237,11.144680851063828,9.519148936170213,0.0,761.6604166666666,55.88541666666666,15.2625,2023-07-05,0.1150459289550781,1027.6817149554367
2023-07-06,2023-07-06,6227.8125,0.0089160493485195,112.16848708096462,2110.7303124856544,0.1183560360208029,2055.001061334802,0.1028731908553685,0.0464347826086956,0.0440217391304347,0.0487391304347826,0.0523478260869565,0.0468545735781702,0.0076003130685098,0.0035932503709429,13.991304347826087,12.963043478260868,11.384782608695652,9.63695652173913,0.0,761.4520833333332,51.69166666666666,15.020833333333334,2023-07-06,0.1028731908553685,1030.6136399190423
