half_hour,datetime,lat,long,mod_nc_cph,swc_vwc,bwe,Mod_cv,Mod_sqrt,N0_fit,airT,airRH,SiteName
2023-07-31 20:00:00,2023-07-31 20:00:00,39.21591,-107.22501,2624.860252277947,0.138641357421875,0.0,0.008857190939167037,112.90261290156221,6804.3300199325795,26.5,40.5,Crys 3
2023-07-31 21:00:00,2023-07-31 21:00:00,39.21591,-107.22501,2664.585193512143,0.128448486328125,0.0,0.008784991081093015,113.8305082804457,6804.3300199325795,27.5,32.5,Crys 3
