,N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,swc_g,swc_g_sd,Pred_Des,Pred_UTS,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2
0,2851.311533,2701.935878,0.113234945,0.071734945,0.006632203,0.113234945,0.113264276,0.089228435,0.980195458,0.0285,0.013,0.630114921,2208.5808,forest,Ponderosa pine,Crys 2,C1,7/31/2023 17:00,7/31/2023 19:00,7/31/2023 17:30,44.33333333,24.5,1.02E-05,0.046783195,40.76532909,1.979567078,13517.5,10426.5,0.009794188,102.1072789,3927.311885,5669.36364,1.296456145,TRUE,FALSE
1,2876.275614,2726.644052,0.198528464,0.148528464,0.027305649,0.198528464,0.198495238,0.107166041,1.361518108,0.0315,0.0185,0.486219582,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,7/31/2023 14:00,7/31/2023 16:00,7/31/2023 14:30,62.075,18.575,1.02E-05,0.077832601,82.90219255,4.942364162,13558.31579,10193.5,0.009905909,100.9585426,4567.605993,6781.176763,1.330094255,TRUE,FALSE
2,2822.167216,2681.589239,0.210365963,0.139865963,0.012133933,0.210365963,0.210363033,0.121455482,0.874312055,0.0405,0.03,0.670070923,2131.4664,forest,Cottonwood riparian,Crys 3,C3,7/31/2023 19:30,7/31/2023 21:30,7/31/2023 20:00,36.5,27,9.70E-06,0.044550992,96.31413317,2.602658471,12852,9560.5,0.010240292,97.73728194,4549.41896,6783.269754,1.344281157,TRUE,FALSE
3,3167.288046,2977.773808,0.092242092,0.049742092,0.003318475,0.092242092,0.092215583,0.089256389,1.204974428,0.0295,0.013,0.545292669,1976.0184,forest,Oak forest,Crys 6,C4,7/31/2023 21:30,7/31/2023 23:30,7/31/2023 22:30,39.625,27.7,1.18E-05,0.056340253,11.68269548,0.759702641,12852,10460,0.009777643,102.2741414,4157.18874,5861.813767,1.228680688,TRUE,FALSE
4,2794.469019,2660.274948,0.215395477,0.138395477,0.015164935,0.215395477,0.215418214,0.100179557,1.034683151,0.0545,0.0225,0.609553528,3200.0952,half-forest,Alpine meadow,RF 1,F1,8/1/2023 20:00,8/1/2023 22:00,8/1/2023 19:30,53.16666667,19.33333333,9.34E-06,0.023983497,67.19156181,1.555794611,24607.70803,18559.6,0.007340931,136.2299201,4532.389126,6775.246467,1.325874913,TRUE,FALSE
5,3135.200219,2978.276806,0.287316938,0.231816938,0.016020446,0.287316938,0.287334712,0.151690487,1.151675213,0.032,0.0235,0.56540558,2907.4872,forest,Ponderosa pine,Fry 4,F2,8/2/2023 14:30,8/2/2023 16:30,8/2/2023 14:30,86.875,12.375,9.76E-06,0.110780199,53.50223187,5.28865542,22532.95114,17157,0.007634487,130.984678,5473.113546,8217.283786,1.313338645,TRUE,TRUE
6,2604.761294,2481.951348,0.298235166,0.203235166,0.008410024,0.298235166,0.298242346,0.22629346,0.95452669,0.062,0.033,0.639801249,2401.5192,half-forest,Aspen grove,Fry 5,F3,8/2/2023 17:30,8/2/2023 19:30,8/2/2023 17:30,43.25,22.875,9.16E-06,0.125323112,25.45425511,0.693676591,13764.56311,10827.5,0.009611639,104.0503301,4589.642613,6915.140318,1.27125958,TRUE,TRUE
7,3520.742371,3376.746976,0.083795779,0.029795779,0.001395052,0.083795779,0.083806415,0.085791038,1.346375124,0.0365,0.0175,0.491933915,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,8/2/2023 20:00,8/2/2023 22:30,8/2/2023 20:00,29,27.16666667,7.90E-06,0.042802663,0.963053449,0.26502489,15672.71287,12097.6,0.009092906,109.984659,4522.775715,6450.919207,1.29552249,TRUE,TRUE
8,2330.489893,2286.839884,0.45562488,0.35662488,0.019360844,0.45562488,0.455618234,0.194432155,0.875688192,0.0615,0.0375,0.669551626,2992.5264,half-forest,Alpine meadow,RF 2,R1,10/18/2023 18:30,10/18/2023 20:30,10/18/2023 19:00,39.81880653,28.4198165,3.53E-06,0.083568812,52.24927262,1.661819512,19335.2,14676,0.008255029,121.1424542,4537.565682,7028.278918,1.3174707,TRUE,FALSE
9,2806.536316,2651.640995,0.192595311,0.122095311,0.018154858,0.192595311,0.192596597,0.105188142,0.891558029,0.035,0.0355,0.663563008,2455.164,forest,Wetland/aspen,RF 3,R2,8/1/2023 15:30,8/1/2023 17:30,8/1/2023 16:00,65.66666667,18.83333333,1.08E-05,0.030926492,28.63877667,0.295257309,15385.04937,11458,0.009375208,106.9208456,4421.95106,6536.310773,1.342734279,TRUE,FALSE
